n_nodes,n_clusters,model_params,flat_params_total,hfl_tier1_params,hfl_tier2_params,hfl_total_params,longhual_saving_pct
10,4,146688,1466880,1466880,586752,2053632,60.0
20,7,146688,2933760,2933760,1026816,3960576,65.0
30,10,146688,4400640,4400640,1466880,5867520,66.67
40,14,146688,5867520,5867520,2053632,7921152,65.0
50,17,146688,7334400,7334400,2493696,9828096,66.0
60,20,146688,8801280,8801280,2933760,11735040,66.67
70,24,146688,10268160,10268160,3520512,13788672,65.71
80,27,146688,11735040,11735040,3960576,15695616,66.25
90,30,146688,13201920,13201920,4400640,17602560,66.67
100,34,146688,14668800,14668800,4987392,19656192,66.0
